message_id,text,timestamp,time_in_seconds,author_name,author_id
ChwKGkNJRzE1NE9LaFlrREZWUER3Z1FkUUdrVFhR,all aboard the pain train,1728606769897410,37.155,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJU2d1NFdLaFlrREZYQXByUVlkWV8wWWFn,choo choo,1728606773375325,40.601,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLeVF3b3FMaFlrREZZM1Z3Z1FkQk5JTGhn,hello,1728607052402172,319.555,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNOeVJpSS1MaFlrREZVZ3NyUVlkcG1ZU2d3,eeeee-lo,1728607061938019,329.069,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPN21qcENMaFlrREZic3FyUVlkc2lFRkhn,Lmao,1728607064144943,331.291,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLU0R2S09MaFlrREZlSEx3Z1FkRXQ4SlhR,oh cool,1728607104730770,371.862,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLUDkxYXlMaFlrREZaZ19yUVlkOWFZNzRB,you'll be making more videos like the cockroach one?,1728607124030674,391.169,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNekx4TGFMaFlrREZkdk93Z1FkcTlNblhB,yeah that will be cool,1728607144717464,411.854,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLdk55NzJMaFlrREZmSXByUVlkVnVVUUlR,I imagine it will bring more people to the channel,1728607159512420,426.641,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNcmwzZHFMaFlrREZmSXByUVlkVnVVUUlR,I suppose you can just keep them noted for now,1728607220627494,487.757,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJYUdodmFMaFlrREZZQTlyUVlkbTVFWXZn,if the mechanics are presented well do you think people will be able to solve them?,1728607277911176,545.042,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNQbkc4XzZMaFlrREZkRUlyUVlkTVdJR25R,you could introduce the concept gradually,1728607296481006,563.616,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNR25sNFdNaFlrREZjQUlyUVlka25BclNR,and go elaborating on it,1728607309650485,576.774,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPbkZfSS1NaFlrREZjck93Z1FkNW5rbnZR,personally I think crosscode nailed that,1728607332280061,599.417,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPR0E5cDJNaFlrREZXTXFyUVlkb2RJVWd3,the puzzles got elaborate but I never felt like I needed to watch a walkthrough,1728607361533739,628.674,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKR2N0NnVNaFlrREZjck93Z1FkNW5rbnZR,right,1728607389865156,657.014,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNOU2V2TFdNaFlrREZlQS1yUVlkSTF3WHZn,but there is a hint right?,1728607410918900,678.064,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLNkd5TGVNaFlrREZYclp3Z1FkTnlRTVd3,oh ok,1728607415310425,682.441,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLYnpzN3FNaFlrREZkZ2VyUVlkeFk0SnR3,then it's fair,1728607421267948,688.417,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPenExTTJNaFlrREZYQXByUVlkWV8wWWFn,how do you let the player know,1728607461654812,728.799,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJX192ZENNaFlrREZja1dyUVlkTmRVQnZ3,is it a visual hint or lore?,1728607467577756,734.729,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPZmE1dnlNaFlrREZkSUtyUVlkT21nVDl3,has to make sense lore-wise?,1728607560512659,827.603,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNMWDQyWkNOaFlrREZaSVFyUVlkMW5BRW5n,if I carefully study every screen and analise the lore do you think I'd be able to solve it?,1728607602246509,869.386,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLN1B4SzJOaFlrREZZTUNyUVlkZFVVMXBR,actually I think I'll probably have an easier time since I have a headstart on the lore,1728607662715175,929.835,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNQUzItTUdOaFlrREZkZ2VyUVlkeFk0SnR3,no I get what you are talking about,1728607705507183,972.645,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLS2gtZUdOaFlrREZhRWJyUVlkVl9zVDZR,but if you managed to think this far I think you'll be able to do it,1728607772629521,1039.782,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJel8xUGFOaFlrREZXdk93Z1Fkb1J3cWd3,Where's your accent from?,1728607816074784,1083.216,Nefertahri,UCa-3cmh6DzW0LVBMfzv7iPg
ChwKGkNJMzJndnVOaFlrREZYQXByUVlkWV8wWWFn,hello,1728607825216346,1092.335,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKalUwYkdPaFlrREZkZ2VyUVlkeFk0SnR3,then don't,1728607939752492,1206.899,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKcm1fY0NPaFlrREZjVU5yUVlkamJveDZB,I want to solve the challenge myself,1728607971932980,1239.071,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNQdXoxZEdPaFlrREZjVU5yUVlkamJveDZB,no issue,1728608006922355,1274.066,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKaThyZUtPaFlrREZia2NyUVlkdDZVck1n,oh,1728608041919004,1309.036,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNONmkwLWVPaFlrREZXZkt3Z1FkcXY0S0JB,you could make like a private stream,1728608053029981,1320.176,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKckt1T3VPaFlrREZYQXByUVlkWV8wWWFn,unlisted*,1728608060975843,1328.095,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKV0lyX0dPaFlrREZhZ01yUVlkRk5BOGd3,and put the link on the credits of the true ending,1728608073403651,1340.541,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKdVoxSVNQaFlrREZWUER3Z1FkUUdrVFhR,yeah it would be easier,1728608113856648,1380.976,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPZTJvNUdQaFlrREZZQTlyUVlkbTVFWXZn,:brain: mind blown moment,1728608140322017,1407.457,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNaXFqcGVQaFlrREZhNEJyUVlkOTQ0bUlB,Nyanyame nyanyajyuunyanya-do no nyarabi de nyakunyaku inyanyaku nyanyahan nyanyadai nyanynaku nyarabete nyaganyagame.,1728608152559498,1419.706,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNMZVVoSnlQaFlrREZYWE00d2Nka3BFWlRn,i forgot again,1728608162877855,1429.987,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNLcVFtWnlQaFlrREZZQTlyUVlkbTVFWXZn,that way you can show that part of development and not worry about spoilers,1728608163226649,1430.377,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNMV3h2cU9QaFlrREZhRWJyUVlkVl9zVDZR,it happens to the best of us,1728608178511372,1445.628,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJTFpsSzJQaFlrREZVZ3NyUVlkcG1ZU2d3,I was waiting for the voice to say the nya thing lol,1728608198800492,1465.905,Nefertahri,UCa-3cmh6DzW0LVBMfzv7iPg
ChwKGkNNZW85YS1QaFlrREZmSXByUVlkVnVVUUlR,"please keep it down with the ""step on me"" requests today",1728608204583197,1471.713,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJWE12N0tQaFlrREZTTE1sQWtkbEVFVnpR,you're gonna do summit heart today right?,1728608209988166,1477.094,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNJRGRfTG1QaFlrREZXTXFyUVlkb2RJVWd3,or at least do them in english or spanish,1728608225671054,1492.82,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLQ1E3OG1QaFlrREZYQXByUVlkWV8wWWFn,keep you eyes extra peeled for the crystals today Verthandy,1728608259002716,1526.143,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJYVA4Y21QaFlrREZXNHlyUVlkelA4MkJB,like this?,1728608259034725,1526.143,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNPR0xoTXlQaFlrREZWa0Jzd0Fkc1M0TnFn,(⌐■-■),1728608263551566,1530.626,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNMM0tsdE9QaFlrREZZQTlyUVlkbTVFWXZn,oh yt didn't send it,1728608278524603,1545.662,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNLSzd1TlNQaFlrREZlSEx3Z1FkRXQ4SlhR,yes it would be fun,1728608281175461,1548.291,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLckM0dGFQaFlrREZhTFFsQWtkRWNBQWV3,ahhh,1728608286060289,1553.126,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNOLVQ2ZGFQaFlrREZXTXRyUVlkeEd3THpB,Lmao,1728608286168807,1553.282,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNYXUzTm1QaFlrREZjck93Z1FkNW5rbnZR,get filtered,1728608292253762,1559.39,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLbm1zdUNQaFlrREZXTXFyUVlkb2RJVWd3,:skateboard:,1728608306248732,1573.384,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNMS2V3LTJQaFlrREZYd1dyUVlkczJNY0h3,btw will there be russian roulette today?,1728608333780132,1600.916,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNQSEZ4UEdQaFlrREZUWE1sQWtkYWMwRUZ3,now?,1728608342190237,1609.258,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNLdVhqUGFQaFlrREZWUER3Z1FkUUdrVFhR,did it get filtered again?,1728608351751817,1618.903,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNLcUZ1ZmlQaFlrREZhSTlzd0FkNmU4QnJ3,yep,1728608356681738,1623.776,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNMblg1NEdRaFlrREZYTVJyUVlkbjcwMWpn,Youtube 2 - Kilfaera 0,1728608376321211,1643.454,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
